name,body,x,y,z
RASI,pelvis,0.022449726982430362,0.0056921914588791145,0.10993401930904989
RPSI,pelvis,-0.1879618081661721,0.029693426756949193,0.04319518529218125
LPSI,pelvis,-0.1864073940223216,0.0331094198776033,-0.04591931167320795
LASI,pelvis,0.024502109862896748,0.011209390960469245,-0.11765595976996823
femur_l_center_in_pelvis,pelvis,-0.05349129475324657,-0.0723145673478697,-0.07343694350408397
femur_r_center_in_pelvis,pelvis,-0.05349129475324657,-0.0723145673478697,0.07343694350408397
knee_l_center_in_femur_l,femur_l,0.004580496427064629,-0.37282578333818406,9.07199062178129e-06
knee_r_center_in_femur_r,femur_r,0.004457971947072137,-0.3811492918224022,-5.030866042143443e-05
talus_l_center_in_tibia,tibia_l,-0.010776761978308748,-0.4310704791323493,1.7074265157625572e-18
talus_r_center_in_tibia,tibia_r,-0.010738151211259072,-0.429526048450362,-1.0930543285288019e-17
